Task,AssignedTo,DueDate,Cadence,Daily_Mode,Key
Change master bedroom sheets,,9/29/2025,Month,,Change master bedroom sheets|2025-09-30
Change guest bedroom sheets,,9/29/2025,Month,,Change guest bedroom sheets|2025-09-30
Pay monthly bills,,9/29/2025,Month,,Pay monthly bills|2025-09-30
Mow grass,,9/29/2025,Month,,Mow grass|2025-09-30
Clean yard from debris,,9/29/2025,Month,,Clean yard from debris|2025-09-30
Gutter and roof Maintenance,,9/29/2025,Month,,Gutter and roof Maintenance|2025-09-30
Deep clean master bathroom,,9/29/2025,Month,,Deep clean master bathroom|2025-09-30
Deep clean and organize master bedroom,,9/29/2025,Month,,Deep clean and organize master bedroom|2025-09-30
Deep clean guest bathroom,,9/29/2025,Month,,Deep clean guest bathroom|2025-09-30
Deep clean and organize guest bedroom,,9/29/2025,Month,,Deep clean and organize guest bedroom|2025-09-30
Deep clean and organize Harrisons room,,9/29/2025,Month,,Deep clean and organize Harrisons room|2025-09-30
Deep clean Kitchen,,9/29/2025,Month,,Deep clean Kitchen|2025-09-30
Deep clean Living Room,,9/29/2025,Month,,Deep clean Living Room|2025-09-30
Deep clean SunRoom,,9/29/2025,Month,,Deep clean SunRoom|2025-09-30
