Task,AssignedTo,DueDate,Cadence,Daily_Mode,Key
Dishes,,9/25/2025,Day,Everyday,Dishes|2025-09-26
AM Clear Table,,9/25/2025,Day,Everyday,AM Clear Table|2025-09-26
PM Clear Table,,9/25/2025,Day,Everyday,PM Clear Table|2025-09-26
AM Lock doors and Off Lights,,9/25/2025,Day,Everyday,AM Lock doors and Off Lights|2025-09-26
PM Lock doors and Off Lights,,9/25/2025,Day,Everyday,PM Lock doors and Off Lights|2025-09-26
AM Feed and give water to cats,,9/25/2025,Day,Everyday,AM Feed and give water to cats|2025-09-26
AM Drop Harrison at daycare,,9/25/2025,Day,Workdays,AM Drop Harrison at daycare|2025-09-26
PM Pick Harrison from daycare,,9/25/2025,Day,Workdays,PM Pick Harrison from daycare|2025-09-26
AM Give harrrison breakfast,,9/25/2025,Day,Everyday,AM Give harrrison breakfast|2025-09-26
PM Give Harrison dinner,,9/25/2025,Day,Everyday,PM Give Harrison dinner|2025-09-26
PM Put Harrison to sleep,,9/25/2025,Day,Everyday,PM Put Harrison to sleep|2025-09-26
AM Gigi Meds,,9/25/2025,Day,Everyday,AM Gigi Meds|2025-09-26
PM Gigi Meds,,9/25/2025,Day,Everyday,PM Gigi Meds|2025-09-26
KG to take her meds,KG,9/25/2025,Day,Everyday,KG to take her meds|2025-09-26
BG to take his meds,BG,9/25/2025,Day,Everyday,BG to take his meds|2025-09-26
PM Feed and give water to cats,,9/25/2025,Day,Everyday,PM Feed and give water to cats|2025-09-26
AM Close room doors before leaving ,,9/25/2025,Day,Everyday,AM Close room doors before leaving |2025-09-26
